"","id","values","ID","Functional","Treatmentb","STREETNAME","PlanActivi","From1","BeginningS","EndingStat","PavementWi","Length","To1","NPR","OCI","ExtendedCo","Route_ID","Inspection"
"339","339",10,"560.1","RT - Residential Local","BR","THURSTON ST","(BR) Recon/Reclaim Local w/ramps","MEDFORD ST",414,1797,26,1383,"BROADWAY (E)",66.06,15.29,602296,560,"2012/09/19"
"340","340",6,"569","RT - Residential Local","RM","TYLER ST","(RM) Crack Seal","DANE ST",0,443,26,443,"PROPERZI WAY (N)",47.47,75.72,1932.47,569,"2012/10/27"
"341","341",2,"617","RT - Residential Local","PM","WHITE ST","(PM) Pavement Patching","ELM ST",0,31,20.5,31,"CAMBRIDGE TOWNLINE",51.74,61.84,1408.67,617,"2014/11/25"
"342","342",1,"623","RT - Residential Local","SI","WILLOUGHBY ST","(SI) 2"" Mill & Overlay Local w/ramps","CENTRAL ST",0,460,26,460,"SYCAMORE ST",60.76,32.52,110058.67,623,"2012/06/26"
"343","343",3,"650","RT - Residential Local","SI","OTIS ST (W)","(SI) 2"" Mill & Overlay Local w/ramps","McGRATH HWY",0,350,26.5,350,"WIGGLESWORTH ST",57.91,41.8,85350.98,650,"2012/10/03"
"344","344",7,"652.3","CO - Collector","PM","POWDER HOUSE BLVD","(PM) Pavement Patching","NORTH ST",4293,5194,40,901,"ALEWIFE BROOK PKWY",67.16,51.72,79888.58,652,"2014/11/04"
"345","345",7,"96.2","CO - Collector","SI","CEDAR ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","MURDOCK ST",3564,4337,26.5,773,"BROADWAY (E)",71.78,39.22,223600.13,96,"2014/11/25"
"347","347",1,"457","RT - Residential Local","SI","PEMBROKE ST","(SI) 2"" Mill & Overlay Local w/ramps","SYCAMORE ST",0,470,26,470,"CENTRAL ST",59.86,35.45,112451.34,457,"2012/09/27"
"348","348",7,"455.1","RT - Residential Local","PM","PEARSON RD","(PM) Pavement Patching","WARNER ST",646,1763,26.5,1117,"DEARBORN RD",50.49,65.9,65614.35,455,"2014/10/27"
"349","349",1,"668","RE - Residential Dead End","PM","THORNDIKE ST (N)","(PM) Pavement Patching","HOLLAND ST",0,476,26.5,476,"DEAD END",38.68,61.8,27961.12,668,"2014/11/25"
"350","350",1,"69","RE - Residential Dead End","DN","BOWDOIN ST","Do Nothing","WASHINGTON ST",0,368,26,368,"DEAD END",29.86,90.45,0,69,"2012/06/26"
"351","351",6,"530.1","AR - Arterial","SI","SOMERVILLE AVE","(SI) 3"" Mill & Overlay Art/Col w/ramps","ROSSMORE ST",600,1427,52,827,"PROSPECT ST",78.08,31.24,469412.33,530,"2012/06/26"
"352","352",3,"530","AR - Arterial","SI","SOMERVILLE AVE","(SI) 3"" Mill & Overlay Art/Col w/ramps","MEDFORD ST",0,600,52,600,"ROSSMORE ST",75.62,39.24,340565.66,530,"2012/06/26"
"353","353",4,"53","RE - Residential Dead End","SI","BENEDICT ST","(SI) 2"" Mill & Overlay Local w/ramps","AUSTIN ST",0,261,26.5,261,"DEAD END",46.62,35.98,63647.17,53,"2012/09/20"
"354","354",1,"528","RT - Residential Local","SI","SMITH AVE","(SI) 2"" Mill & Overlay Local w/ramps","BEACON ST",0,263,15,263,"LINE ST",57.15,44.26,36302.49,528,"2012/09/25"
"355","355",6,"552","RT - Residential Local","DN","TAYLOR ST","Do Nothing","SYDNEY ST",0,367,26,367,"MYSTIC AVE",40.18,99.41,0,552,"2012/09/20"
"356","356",8,"556.1","RT - Residential Local","RM","TEN HILLS RD","(RM) Crack Seal","271' N OF PUTNAM RD",1033,2018,26,985,"SHORE DR",48.86,71.22,4296.8,556,"2012/10/04"
"357","357",9,"592","RT - Residential Local","PM","WARNER ST","(PM) Pavement Patching","POWDER HOUSE ROTARY",0,547,39.5,547,"MEDFORD TOWNLINE",50.57,65.66,47894.36,592,"2014/11/18"
"358","358",8,"605","RE - Residential Dead End","DN","WESLEY PARK","Do Nothing","SUMMER ST",0,400,26.5,400,"CUL-DE-SAC",27.05,99.6,0,605,"2012/09/12"
"359","359",8,"610","RT - Residential Local","DN","WESTMINSTER ST","Do Nothing","BROADWAY (E)",0,428,26,428,"ELECTRIC AVE",41.16,96.24,0,610,"2014/11/04"
"360","360",3,"643","RT - Residential Local","RM","BONAIR ST (E)","(RM) Crack Seal","CROSS ST",0,797,26.5,797,"McGRATH HWY",45.8,81.15,3543.55,643,"2012/08/30"
"361","361",1,"647","RT - Residential Local","DN","FOLEY ST","Do Nothing","MIDDLESEX AVE",0,690,48,690,"ASSEMBLY SQUARE DR",40.05,94.85,0,647,"2012/10/05"
"362","362",3,"455","RT - Residential Local","SI","PEARSON RD","(SI) 2"" Mill & Overlay Local w/ramps","BROADWAY (E)",0,646,26.5,646,"WARNER ST",57.96,41.64,157532.75,455,"2014/10/27"
"363","363",1,"454","RT - Residential Local","DN","PEARSON AVE","Do Nothing","MORRISON AVE",0,1376,30,1376,"BOSTON AVE (S)",41.53,95.02,0,454,"2014/10/24"
"364","364",9,"66","RT - Residential Local","SI","BOSTON ST","(SI) 2"" Mill & Overlay Local w/ramps","WASHINGTON ST",0,1933,26,1933,"WALNUT ST",59.92,35.25,462485.1,66,"2012/09/19"
"365","365",10,"663","RE - Residential Dead End","DN","KENT ST (S)","Do Nothing","DEAD END",0,418,18,418,"BEACON ST",27.04,99.62,0,663,"2012/10/02"
"366","366",9,"526.1","RT - Residential Local","SI","SKEHAN ST","(SI) 2"" Mill & Overlay Local w/ramps","205' N OF DURHAM ST",583,788,17,205,"DURHAM ST",59.62,36.25,32069.56,526,"2012/08/29"
"367","367",8,"525","RT - Residential Local","SI","SIMPSON AVE","(SI) 2"" Mill & Overlay Local w/ramps","HOLLAND ST",0,1091,26.5,1091,"BROADWAY (E)",57.96,41.64,266050.14,525,"2014/11/05"
"368","368",3,"520","RT - Residential Local","PM","SEWALL ST","(PM) Pavement Patching","GRANT ST",0,669,27,669,"TEMPLE ST",52.78,58.48,40039.65,520,"2012/09/20"
"369","369",1,"545","RT - Residential Local","RM","SUNNYSIDE AVE","(RM) Crack Seal","WIGGLESWORTH ST",0,345,23,345,"WALNUT ST",43.88,87.4,1331.32,545,"2012/08/30"
"370","370",9,"585","RT - Residential Local","RM","WALKER ST","(RM) Crack Seal","BROADWAY (E)",0,757,26.5,757,"LEONARD ST",43.79,87.68,3365.7,585,"2014/11/12"
"371","371",8,"588.2","CO - Collector","SI","WALNUT ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","PEARL ST",2584,4009,26,1425,"BROADWAY (E)",68.1,46.19,404421.66,588,"2012/08/30"
"372","372",8,"594","RT - Residential Local","SI","WARREN ST","(SI) 2"" Mill & Overlay Local w/ramps","CAMBRIDGE TOWNLINE",0,129,21,129,"MEDFORD ST",58.09,41.22,24928.82,594,"2012/09/24"
"373","373",8,"600","RT - Residential Local","SI","WATSON ST","(SI) 2"" Mill & Overlay Local w/ramps","BROADWAY (E)",0,292,26,292,"FAIRMOUNT AVE",57.59,42.82,69863.64,600,"2014/11/18"
"374","374",7,"631","RT - Residential Local","PM","WINDSOR ST","(PM) Pavement Patching","CAMBRIDGE TOWNLINE",0,560,25.5,560,"SOUTH ST",54.4,53.2,31654.07,631,"2012/09/12"
"375","375",2,"638","RT - Residential Local","DN","WOODSTOCK ST","Do Nothing","VICTORIA ST",0,360,26,360,"ALEWIFE BROOK PKWY",43.46,88.76,0,638,"2014/11/12"
"376","376",4,"657.4","AR - Arterial","SI","BROADWAY (W)","(SI) 3"" Mill & Overlay Art/Col w/ramps","SCHOOL ST",5057,5676,33,619,"BOND ST",76.11,37.64,222972.38,657,"2012/10/19"
"377","377",10,"658.3","AR - Arterial","SI","BROADWAY (E)","(SI) 3"" Mill & Overlay Art/Col w/ramps","MONTGOMERY AVE",2951,3456,34,505,"MCGRATH HWY",76.11,37.64,187420.31,658,"2012/10/19"
"378","378",5,"992","RT - Residential Local","SI","DOW ST","(SI) 2"" Mill & Overlay Local w/ramps","POWDER HOUSE BLVD",0,324,26.5,324,"WARE ST",57.96,41.64,79010.28,992,"2014/11/19"
"379","379",3,"997","RT - Residential Local","PM","CURTIS AVE","(PM) Pavement Patching","CURTIS ST",0,693,26.5,693,"HILLSDALE RD",51.96,61.12,40707.98,997,"2014/11/04"
"380","380",9,"452","RE - Residential Dead End","DN","PEARL ST PL","Do Nothing","PEARL ST",0,191,14.5,191,"DEAD END",27.04,99.61,0,452,"2012/09/24"
"381","381",5,"451.4","CO - Collector","DN","PEARL ST","Do Nothing","SKILTON AV",4401,4932,34,531,"MEDFORD ST",53.78,92.7,0,451,"2012/09/24"
"382","382",9,"82","RT - Residential Local","SI","BURNSIDE AVE","(SI) 2"" Mill & Overlay Local w/ramps","ELM ST",0,774,26,774,"SUMMER ST",57.67,42.58,185185.52,82,"2014/10/24"
"383","383",3,"88","CO - Collector","SI","CAMERON AVE","(SI) 3"" Mill & Overlay Art/Col w/ramps","HOLLAND ST",0,1097,40,1097,"CAMBRIDGE TOWNLINE",69.58,41.36,478975.01,88,"2014/11/04"
"384","384",1,"518","RT - Residential Local","SI","SEVEN PINES AVE","(SI) 2"" Mill & Overlay Local w/ramps","CAMERON AVE",0,217,26.5,217,"CAMBRIDGE TOWNLINE",57.96,41.64,52917.01,518,"2014/11/25"
"385","385",2,"516.2","CO - Collector","DN","SCHOOL ST","Do Nothing","MEDFORD ST",2902,4532,33,1630,"BROADWAY (E)",54.39,90.72,0,516,"2012/09/14"
"386","386",3,"516.1","CO - Collector","SI","SCHOOL ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","HIGHLAND AVE",2003,2902,33,899,"MEDFORD ST",68.57,44.65,323831.46,516,"2012/09/13"
"387","387",8,"516","CO - Collector","SI","SCHOOL ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","SOMERVILLE AVE",0,2003,26.5,2003,"HIGHLAND AVE",68.27,45.63,579392.01,516,"2012/09/13"
"388","388",7,"567","RT - Residential Local","BR","TUFTS ST","(BR) Recon/Reclaim Local w/ramps","WASHINGTON ST",0,1039,27,1039,"CROSS ST",65.59,16.84,469887.75,567,"2012/09/19"
"389","389",6,"576","RT - Residential Local","SI","VICTORIA ST","(SI) 2"" Mill & Overlay Local w/ramps","BROADWAY (E)",0,1068,26.5,1068,"CAMBRIDGE TOWNLINE",57.96,41.64,260441.57,576,"2014/11/12"
"390","390",1,"621","RT - Residential Local","SI","WILLIAM ST","(SI) 2"" Mill & Overlay Local w/ramps","COLLEGE AVE",0,434,26.5,434,"CHANDLER ST",63.66,23.1,105834.85,621,"2014/11/18"
"391","391",7,"626","RE - Residential Dead End","DN","WILSON AVE","Do Nothing","BROADWAY (E)",0,352,23,352,"DEAD END",29.64,91.16,0,626,"2014/11/12"
"392","392",8,"652.2","CO - Collector","SI","POWDER HOUSE BLVD","(SI) 3"" Mill & Overlay Art/Col w/ramps","CURTIS ST",2892,4293,40,1401,"NORTH ST",72.04,35.88,611708.06,652,"2014/11/04"
"393","393",4,"656","RE - Residential Dead End","RM","BELMONT SQ","(RM) Crack Seal","BELMONT ST",0,206,20,206,"DEAD END",33.13,79.84,691.25,656,"2012/09/28"
"394","394",6,"982.1","RT - Residential Local","PM","SHORE DR","(PM) Pavement Patching","CREST HILL RD",1164,2698,26,1535,"FELLSWAY WEST",48.48,57.44,88467.08,982,"2012/12/12"
"395","395",3,"987","RT - Residential Local","PM","HENRY AVE","(PM) Pavement Patching","HIGHLAND AVE",0,347,27,347,"LEXINGTON AVE",49.96,67.64,20767.95,987,"2014/10/27"
"396","396",1,"451.3","CO - Collector","PM","PEARL ST","(PM) Pavement Patching","100' E OF WALNUT ST",3890,4401,33.5,511,"SKILTON AV",65.51,54.59,37946.1,451,"2012/09/24"
"397","397",4,"451.2","CO - Collector","SI","PEARL ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","CROSS ST",2445,3890,33.5,1445,"100' E OF WALNUT ST",71.56,34.92,528394.65,451,"2012/09/24"
"398","398",5,"451.1","CO - Collector","SI","PEARL ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","FRANKLIN ST",1401,2445,26,1044,"CROSS ST",70.92,37,296291.84,451,"2012/09/24"
"399","399",4,"671","RT - Residential Local","DN","MAINE TERR","Do Nothing","MAINE AVE",0,358,22,358,"AUSTIN ST",41.82,94.07,0,671,"2012/09/20"
"400","400",4,"73","RT - Residential Local","SI","BRASTOW AVE","(SI) 2"" Mill & Overlay Local w/ramps","LOWELL ST",0,728,26.5,728,"PORTER ST",61.42,30.37,177529.64,73,"2012/06/25"
"401","401",7,"514","RT - Residential Local","SI","SARTWELL AVE","(SI) 2"" Mill & Overlay Local w/ramps","CEDAR ST",0,466,24,466,"CHERRY ST",57.11,44.38,102917.93,514,"2014/10/27"
"402","402",4,"513","RT - Residential Local","SI","SARGENT AVE","(SI) 2"" Mill & Overlay Local w/ramps","BROADWAY (E)",0,1127,26.5,1127,"WALNUT ST",59.48,36.7,274829.06,513,"2012/10/03"
"403","403",10,"511","RT - Residential Local","DN","SANBORN AVE","Do Nothing","WARREN AVE",0,318,26,318,"WALNUT ST",40.18,99.4,0,511,"2012/09/19"
"404","404",4,"510","RT - Residential Local","RM","SACRAMENTO ST","(RM) Crack Seal","CAMBRIDGE TOWNLINE",0,375,20,375,"DEAD END",49.44,69.33,1258.33,510,"2012/10/02"
"405","405",3,"556","RT - Residential Local","RM","TEN HILLS RD","(RM) Crack Seal","BAILEY RD",0,1033,20,1033,"271' N OF PUTNAM RD",49.14,70.31,3466.3,556,"2012/10/04"
"406","406",7,"560","RT - Residential Local","DN","THURSTON ST","Do Nothing","RICHDALE AVE",0,414,26,414,"MEDFORD ST",40.18,99.4,0,560,"2012/09/19"
"407","407",9,"547.3","RT - Residential Local","SI","SYCAMORE ST","(SI) 2"" Mill & Overlay Local w/ramps","EVERGREEN AVE",1891,2712,29,821,"BROADWAY (E)",62.77,26,219095.34,547,"2012/11/05"
"408","408",6,"609","RE - Residential Dead End","DN","WEST ST","Do Nothing","HAWTHORNE ST",0,264,19.5,264,"HIGHLAND AVE",28.55,94.7,0,609,"2014/10/27"
"409","409",9,"614","RT - Residential Local","DN","WHEELER ST","Do Nothing","MOUNT VERNON ST",0,313,26,313,"PINCKNEY ST",40.1,99.69,0,614,"2012/10/05"
"410","410",9,"646","RE - Residential Dead End","PM","COBBLE HILL RD","(PM) Pavement Patching","NEW WASHINGTON ST",0,796,26,796,"DEAD END",42.5,49.38,45876.22,646,"2012/11/03"
"411","411",9,"65","RT - Residential Local","RM","BONNER AVE","(RM) Crack Seal","WASHINGTON ST",0,432,27,432,"COLUMBUS AVE",47.76,74.79,1956.96,65,"2012/09/13"
"412","412",9,"96.1","CO - Collector","SI","CEDAR ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","HIGHLAND AVE",1751,3564,26.5,1813,"MURDOCK ST",71.78,39.22,524432.63,96,"2014/11/25"
"413","413",3,"451","CO - Collector","SI","PEARL ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","CRESCENT ST",0,1401,32,1401,"FRANKLIN ST",71.89,33.85,489365.86,451,"2012/09/24"
"414","414",9,"450","RT - Residential Local","SI","PAULINA ST","(SI) 2"" Mill & Overlay Local w/ramps","HOLLAND ST",0,835,26.5,835,"BROADWAY (E)",58.02,41.44,203622.08,450,"2014/11/04"
"415","415",9,"662","RE - Residential Dead End","DN","KENT ST (N)","Do Nothing","SOMERVILLE AVE",0,321,34,321,"DEAD END",27.04,99.62,0,662,"2012/10/02"
"416","416",4,"667","RT - Residential Local","PM","RUSH ST (S)","(PM) Pavement Patching","PEARL ST",0,360,26,360,"FLINT ST",54.3,53.52,20748,667,"2012/09/19"
"417","417",2,"509","RT - Residential Local","PM","RUSSELL ST","(PM) Pavement Patching","ELM ST",0,777,26.5,777,"CAMBRIDGE TOWNLINE",50.09,67.22,45642.21,509,"2014/10/27"
"418","418",5,"508","RE - Residential Dead End","PM","RUSSELL RD","(PM) Pavement Patching","BROADWAY (E)",0,560,26.5,560,"HAMILTON RD",39.4,59.46,32895.36,508,"2014/11/18"
"419","419",4,"506","RT - Residential Local","RM","ROSSMORE ST","(RM) Crack Seal","SOMERVILLE AVE",0,610,27,610,"WASHINGTON ST",44.17,86.44,2763.3,506,"2012/09/13"
"420","420",3,"505","RT - Residential Local","BR","ROSELAND ST","(BR) Recon/Reclaim Local w/ramps","CAMBRIDGE TOWNLINE",0,159,24.5,159,"BEACON ST",64.01,21.96,65249.12,505,"2012/06/25"
"421","421",10,"544","RT - Residential Local","SI","SUMMIT ST","(SI) 2"" Mill & Overlay Local w/ramps","COLLEGE AVE",0,315,26.5,315,"BILLINGHAM ST",61.6,29.8,76815.55,544,"2014/11/12"
"422","422",4,"55","RT - Residential Local","PM","BENTON RD","(PM) Pavement Patching","SUMMER ST",0,1314,26.5,1314,"HUDSON ST",55.46,49.76,77186.55,55,"2012/09/25"
"423","423",2,"588.1","CO - Collector","RM","WALNUT ST","(RM) Crack Seal","MEDFORD ST",2008,2584,26,576,"PEARL ST",58.07,78.78,2512.64,588,"2012/08/30"
"424","424",3,"591","RT - Residential Local","SI","WARE ST","(SI) 2"" Mill & Overlay Local w/ramps","CURTIS ST",0,790,26,790,"RUSSELL RD",57.96,41.64,189013.46,591,"2014/11/19"
"425","425",1,"599","RT - Residential Local","DN","WATERHOUSE ST","Do Nothing","BROADWAY (E)",0,1010,26.5,1010,"CAMBRIDGE TOWNLINE",41.45,95.28,0,599,"2014/11/12"
"426","426",1,"604","RE - Residential Dead End","PM","WELLINGTON AVE","(PM) Pavement Patching","WALNUT ST",0,215,26.5,215,"MONTGOMERY AVE",42.22,50.28,12629.55,604,"2012/10/15"
"427","427",8,"637","RT - Residential Local","PM","WOODS AVE","(PM) Pavement Patching","NORTH ST",0,1218,26.5,1218,"ALEWIFE BROOK PKWY",56.3,47.04,71547.28,637,"2014/11/18"
"428","428",9,"642","RT - Residential Local","RM","BONAIR ST (W)","(RM) Crack Seal","McGRATH HWY",0,733,27,733,"WALNUT ST",45.2,83.1,3320.49,642,"2012/08/30"
"429","429",4,"658.2","AR - Arterial","SI","BROADWAY (E)","(SI) 3"" Mill & Overlay Art/Col w/ramps","SARGENT AVE",2266,2951,35,685,"MONTGOMERY AVE",76.11,37.64,261700.55,658,"2012/10/19"
"430","430",1,"996","RT - Residential Local","SI","COLLEGE HILL RD","(SI) 2"" Mill & Overlay Local w/ramps","NORTH ST",0,273,26.5,273,"CONWELL AVE",56.98,44.8,66573.2,996,"2014/11/18"
"431","431",7,"45","RT - Residential Local","SI","BEDFORD ST","(SI) 2"" Mill & Overlay Local w/ramps","CAMBRIDGE TOWNLINE",0,174,20,174,"SOUTH ST",58.09,41.2,32024.01,45,"2012/09/24"
"432","432",5,"449","RT - Residential Local","PM","PARTRIDGE AVE","(PM) Pavement Patching","VERNON ST",0,1572,24.5,1572,"BROADWAY (E)",53.24,56.96,85372.63,449,"2012/09/14"
"433","433",6,"659","RT - Residential Local","SI","CENTRAL RD","(SI) 2"" Mill & Overlay Local w/ramps","CENTRAL ST",0,560,26,560,"SYCAMORE ST",57.87,41.92,133984.54,659,"2012/10/02"
"434","434",9,"87","RT - Residential Local","DN","CAMBRIA ST","Do Nothing","CENTRAL ST",0,527,26.5,527,"BENTON RD",41.84,94.01,0,87,"2012/06/26"
"435","435",1,"95","RT - Residential Local","SI","CEDAR AVE","(SI) 2"" Mill & Overlay Local w/ramps","CEDAR ST",0,330,14.5,330,"LINDEN AVE",57.39,43.48,44032.91,95,"2014/10/27"
"436","436",5,"504","RT - Residential Local","RM","ROSE ST","(RM) Crack Seal","WASHINGTON ST",0,501,26,501,"LEWIS ST",43.91,87.28,2185.47,504,"2012/06/26"
"437","437",5,"503","RT - Residential Local","SI","ROGERS AVE","(SI) 2"" Mill & Overlay Local w/ramps","MORRISON AVE",0,1728,30,1728,"BOSTON AVE (S)",57.96,41.64,477043.2,503,"2014/10/24"
"438","438",5,"502","RT - Residential Local","SI","ROBINSON ST","(SI) 2"" Mill & Overlay Local w/ramps","CENTRAL ST",0,688,26,688,"BARTLETT ST",62.63,26.44,164609.72,502,"2012/09/28"
"439","439",6,"575","RT - Residential Local","PM","VERNON ST","(PM) Pavement Patching","CENTRAL ST",0,1422,26.5,1422,"LOWELL ST",52.23,60.24,83530.65,575,"2012/06/26"
"440","440",3,"584","RT - Residential Local","PM","WALDO ST","(PM) Pavement Patching","HIGHLAND AVE",0,339,26,339,"HUDSON ST",55.66,49.12,19537.63,584,"2012/06/15"
"441","441",3,"593","RT - Residential Local","SI","WARREN AVE","(SI) 2"" Mill & Overlay Local w/ramps","BOW ST",0,712,26.5,712,"COLUMBUS AVE",59.82,35.6,173627.16,593,"2012/09/12"
"442","442",4,"625","RT - Residential Local","PM","WILLOW PL","(PM) Pavement Patching","SOUTH ST",0,197,17,197,"CAMBRIDGE TOWNLINE",51.06,64.04,7423.59,625,"2012/09/12"
"443","443",1,"630","RT - Residential Local","RM","WINDSOR RD","(RM) Crack Seal","HANCOCK ST",0,621,26,621,"WILLOW AVE",48.34,72.9,2708.94,630,"2014/11/19"
"444","444",3,"655","RT - Residential Local","PM","ABERDEEN RD","(PM) Pavement Patching","CEDAR ST",0,470,26,470,"HIGHLAND AVE",50.86,64.7,27087.71,655,"2014/10/27"
"445","445",9,"657.3","AR - Arterial","SI","BROADWAY (W)","(SI) 3"" Mill & Overlay Art/Col w/ramps","130' E OF MARSHALL ST",4383,5057,34,674,"SCHOOL ST",76.11,37.64,250140.65,657,"2012/10/19"
"446","446",9,"986","RT - Residential Local","PM","NORFOLK ST","(PM) Pavement Patching","CAMBRIDGE TOWNLINE",0,324,27,324,"WEBSTER AV",52.5,59.36,19391.4,986,"2012/09/12"
"447","447",1,"991","RT - Residential Local","SI","JAY ST","(SI) 2"" Mill & Overlay Local w/ramps","HOLLAND ST",0,579,26.5,579,"HOWARD ST",57.96,41.64,141194.02,991,"2014/11/25"
"448","448",2,"448","RT - Residential Local","PM","PARKER ST","(PM) Pavement Patching","WASHINGTON ST",0,249,23,249,"FREMONT AVE",50.36,66.32,12694.78,448,"2012/06/26"
"449","449",5,"446","RT - Residential Local","PM","PARKDALE ST","(PM) Pavement Patching","WASHINGTON ST",0,551,26.5,551,"LEWIS ST",55.14,50.8,32366.68,446,"2012/06/26"
"450","450",1,"445","CO - Collector","PM","PARK ST","(PM) Pavement Patching","SOMERVILLE AVE",0,1332,33,1332,"CAMBRIDGE TOWNLINE",62.54,64.25,97435.8,445,"2012/09/25"
"451","451",4,"72","RT - Residential Local","SI","BRADLEY ST","(SI) 2"" Mill & Overlay Local w/ramps","PEARL ST",0,808,26.5,808,"JACKSON RD",56.63,45.94,197037.89,72,"2012/09/24"
"452","452",2,"79","RT - Residential Local","PM","BUCKINGHAM ST","(PM) Pavement Patching","BEACON ST",0,345,26.5,345,"DIMICK ST",50.4,66.2,20265.81,79,"2012/09/14"
