FID,Shape *,ID,Functional,Treatmentb,PavementCl,STREETNAME,PlanActivi,From1,BeginningS,EndingStat,PavementWi,Length,To1,NPR,OCI,ExtendedCo,Route_ID
113,Polyline M,277.04,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,CHERRY ST,6693,8371,39.5,1678,ELLINGTON RD,71.93,63.76,136833.52,277
114,Polyline M,277.03,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,LOWELL ST,4791,6693,39.5,1902,CHERRY ST,72.25,64.81,155099.71,277
115,Polyline M,277.02,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,CENTRAL ST,3404,4791,39.5,1387,LOWELL ST,69.64,56.34,113103.71,277
116,Polyline M,277.01,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,SCHOOL ST,2005,3404,39.5,1399,CENTRAL ST,70.27,58.37,114082.31,277
117,Polyline M,277,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,MEDFORD ST,0,2005,39.5,2005,SCHOOL ST,69.47,55.78,163498.8,277
118,Polyline M,276,RT - Residential Local,RM,BC - Bituminous Concrete,HIGH ST,(RM) Crack Seal,NORTH ST,0,740,26.5,740,ALEWIFE BROOK PKWY,63.68,76.96,3943.79,276
119,Polyline M,274,RT - Residential Local,DN,BC - Bituminous Concrete,HERBERT ST,Do Nothing,CHESTER ST,0,378,26.5,378,DAY ST,70.06,97.71,0,274
120,Polyline M,272,RE - Residential Dead End,RM,BC - Bituminous Concrete,HENDERSON ST,(RM) Crack Seal,RICHARDSON ST,0,583,14.5,583,DEAD END,51.97,81.39,1700.1,272
121,Polyline M,271,RT - Residential Local,RM,BC - Bituminous Concrete,HEATH ST,(RM) Crack Seal,TEMPLE ST,0,1889,30,1889,MORELAND ST,62.65,73.6,11396.97,271
122,Polyline M,27,RT - Residential Local,PM,BC - Bituminous Concrete,ATHERTON ST,(PM) Pavement Patching,CENTRAL ST,0,805,26,805,SPRING ST,60.87,67.82,43208.9,27
123,Polyline M,269,RT - Residential Local,RM,BC - Bituminous Concrete,HAWTHORNE ST,(RM) Crack Seal,WILLOW AVE,0,854,20,854,CUTTER AVE,63.48,76.32,3434.98,269
124,Polyline M,268,RT - Residential Local,PM,BC - Bituminous Concrete,HAWKINS ST,(PM) Pavement Patching,SOMERVILLE AVE,0,397,26.5,397,WASHINGTON ST,55.11,49.12,21718.91,268
125,Polyline M,267,RT - Residential Local,DN,BC - Bituminous Concrete,HATHORN ST,Do Nothing,BROADWAY (E),0,385,26.5,385,ARLINGTON ST,70.75,99.95,0,267
126,Polyline M,266,RT - Residential Local,SI,BC - Bituminous Concrete,HARVARD ST,"(SI) 2"" Mill & Overlay Local w/ramps",ATHERTON ST,0,760,26,760,SUMMER ST,53.73,44.62,169299.63,266
127,Polyline M,264,RT - Residential Local,SI,BC - Bituminous Concrete,HARRISON ST,"(SI) 2"" Mill & Overlay Local w/ramps",IVALOO ST,0,690,26.5,690,KENT ST,52.22,39.7,156662.07,264
128,Polyline M,262,RE - Residential Dead End,BR,BC - Bituminous Concrete,HAROLD ST,(BR) Recon/Reclaim Local w/ramps,DEAD END,0,518,26.5,518,MARION ST,30.27,10.89,214095.13,262
129,Polyline M,260,RT - Residential Local,RM,BC - Bituminous Concrete,HARDING ST,(RM) Crack Seal,WARD ST,0,457,20.5,457,CAMBRIDGE TOWNLINE,63.42,76.12,1884.1,260
130,Polyline M,26,RT - Residential Local,DN,BC - Bituminous Concrete,ASSEMBLY SQ DR,Do Nothing,FELLSWAY WEST,0,4536,62,4536,MYSTIC AVE,70.12,97.89,0,26
131,Polyline M,259,RT - Residential Local,PM,BC - Bituminous Concrete,HARDAN RD,(PM) Pavement Patching,POWDER HOUSE BLVD,0,183,26,183,SOUTHERLY,57.58,57.12,9822.69,259
132,Polyline M,258,RT - Residential Local,RM,BC - Bituminous Concrete,HANSON ST,(RM) Crack Seal,PROPERZI WAY,0,851,23,851,WASHINGTON ST,62.8,74.09,3936.35,258
133,Polyline M,256.1,RT - Residential Local,DN,BC - Bituminous Concrete,HANCOCK ST,Do Nothing,HIGHLAND AVE,1408,1842,33,434,LEXINGTON AVE,70.07,97.72,0,256
134,Polyline M,256,RT - Residential Local,DN,BC - Bituminous Concrete,HANCOCK ST,Do Nothing,ELM ST,0,1408,26.5,1408,HIGHLAND AVE,70.28,98.4,0,256
135,Polyline M,255,RT - Residential Local,SI,BC - Bituminous Concrete,HAMMOND ST,"(SI) 2"" Mill & Overlay Local w/ramps",CONCORD AVE,0,315,26.5,315,DICKENSON ST,47.42,24.12,71519.53,255
136,Polyline M,254,RT - Residential Local,DN,BC - Bituminous Concrete,HAMLET ST,Do Nothing,HIGHLAND AVE,0,663,20,663,BOSTON ST,69.26,95.1,0,254
137,Polyline M,253,RT - Residential Local,DN,BC - Bituminous Concrete,HAMILTON RD,Do Nothing,NORTH ST,0,601,26,601,RUSSELL RD,69.09,94.55,0,253
138,Polyline M,252,RT - Residential Local,BR,BC - Bituminous Concrete,HALL ST,(BR) Recon/Reclaim Local w/ramps,CEDAR ST,0,499,20,499,CHERRY ST,46.15,19.99,155654.89,252
139,Polyline M,251,RT - Residential Local,RM,BC - Bituminous Concrete,HALL AVE,(RM) Crack Seal,COLLEGE AVE,0,981,26.5,981,LIBERTY AVE,66.73,86.88,5228.19,251
140,Polyline M,25,RT - Residential Local,PM,BC - Bituminous Concrete,ASHLAND ST,(PM) Pavement Patching,SUMMER ST,0,521,20,521,SARTWELL AVE,58.9,61.44,21511.55,25
141,Polyline M,248,RT - Residential Local,PM,BC - Bituminous Concrete,GROVE ST,(PM) Pavement Patching,ELM ST,0,1054,26.5,1054,MORRISON AVE,54.89,48.4,57661.92,248
142,Polyline M,246,RT - Residential Local,DN,BC - Bituminous Concrete,GREENVILLE ST,Do Nothing,MEDFORD ST,0,747,26.5,747,MUNROE ST,68.32,92.03,0,246
143,Polyline M,244,RT - Residential Local,PM,BC - Bituminous Concrete,GREENE ST,(PM) Pavement Patching,LAUREL ST,0,536,26.5,536,SUMMER ST,57.94,58.32,29323.33,244
144,Polyline M,243,RT - Residential Local,PM,BC - Bituminous Concrete,GRANT ST,(PM) Pavement Patching,BROADWAY (W),0,1489,26,1489,DEAD END,58.78,61.04,79922.98,243
145,Polyline M,242,RT - Residential Local,PM,BC - Bituminous Concrete,GRANITE ST,(PM) Pavement Patching,SOMERVILLE AVE,0,466,26.5,466,OSGOOD ST,57.9,58.16,25493.8,242
146,Polyline M,241,RT - Residential Local,PM,BC - Bituminous Concrete,GRANDVIEW AVE,(PM) Pavement Patching,WALNUT ST,0,585,26.5,585,VINAL AVE,55.58,50.64,32004.05,241
147,Polyline M,24,RT - Residential Local,DN,BC - Bituminous Concrete,ASH AVE,Do Nothing,MEACHAM ST,0,550,26.5,550,EAST ALBION ST,69.61,96.22,0,24
148,Polyline M,239,RT - Residential Local,RM,BC - Bituminous Concrete,GOVERNOR WINTHROP RD,(RM) Crack Seal,TEN HILLS RD,0,1568,26.5,1568,SHORE DR,66.72,86.84,8356.57,239
149,Polyline M,237,RT - Residential Local,PM,BC - Bituminous Concrete,GORHAM ST,(PM) Pavement Patching,HOLLAND ST,0,817,26.5,817,HOWARD ST,56.34,53.12,44696.23,237
150,Polyline M,236,RT - Residential Local,PM,BC - Bituminous Concrete,GORDON ST,(PM) Pavement Patching,NORTH ST,0,1316,26.5,1316,ALEWIFE BROOK PKWY,59.21,62.42,71995.46,236
151,Polyline M,234,RT - Residential Local,RM,BC - Bituminous Concrete,GLENWOOD RD,(RM) Crack Seal,VERNON ST,0,1631,27,1631,BROADWAY (E),62.41,72.83,8856.33,234
152,Polyline M,233,RT - Residential Local,RM,BC - Bituminous Concrete,GLENDALE AVE,(RM) Crack Seal,CAMERON AVE,0,461,26.5,461,YORKTOWN ST,66.15,85,2456.88,233
153,Polyline M,232,RT - Residential Local,DN,BC - Bituminous Concrete,GLEN ST,Do Nothing,BROADWAY (E),0,2422,26.5,2422,TUFTS ST,69.27,95.12,0,232
154,Polyline M,230,RE - Residential Dead End,RM,BC - Bituminous Concrete,GILMAN TER,(RM) Crack Seal,PEARL ST,0,381,27,381,DEAD END,47.75,67.7,2068.83,230
155,Polyline M,228,RE - Residential Dead End,SI,BC - Bituminous Concrete,GILES PARK,"(SI) 2"" Mill & Overlay Local w/ramps",WALNUT ST,0,181,23,181,DEAD END,33.18,20.34,35668,228
156,Polyline M,227,RE - Residential Dead End,DN,BC - Bituminous Concrete,GIBBENS ST,Do Nothing,CENTRAL ST,0,679,26.5,679,DEAD END,57.68,99.95,0,227
157,Polyline M,226,RT - Residential Local,DN,BC - Bituminous Concrete,GEORGE ST,Do Nothing,BROADWAY (E),0,316,20,316,LINCOLN AVE,70.75,99.95,0,226
158,Polyline M,225,RT - Residential Local,DN,BC - Bituminous Concrete,GARRISON AVE,Do Nothing,BROADWAY (E),0,920,26.5,920,HOOKER AVE,67.34,88.84,0,225
159,Polyline M,224,RT - Residential Local,PM,BC - Bituminous Concrete,GARFIELD AVE,(PM) Pavement Patching,BROADWAY (W),0,500,26.5,500,BLAKELEY AVE,60.11,65.36,27353.85,224
160,Polyline M,222,RT - Residential Local,PM,BC - Bituminous Concrete,FREMONT ST,(PM) Pavement Patching,MAIN ST,0,1144,26.5,1144,DEAD END,59.11,62.12,62585.62,222
161,Polyline M,221,RE - Residential Dead End,DN,BC - Bituminous Concrete,FREMONT AVE,Do Nothing,BOWDOIN ST,0,247,19.5,247,DEAD END,55.86,94.06,0,221
162,Polyline M,220.1,CO - Collector,RM,BC - Bituminous Concrete,FRANKLIN ST,(RM) Crack Seal,PEARL ST,1080,2336,25.5,1256,WASHINGTON ST,77.86,85.54,6441.19,220
163,Polyline M,220,CO - Collector,BR,BC - Bituminous Concrete,FRANKLIN ST,(BR) Recon/Reclaim Collector w/ramps,BROADWAY ST (E),0,1080,26.5,1080,PEARL ST,56.31,15.5,471594,220
164,Polyline M,219,RT - Residential Local,PM,BC - Bituminous Concrete,FRANKLIN AVE,(PM) Pavement Patching,WASHINGTON ST,0,629,14,629,FRANKLIN ST,55.38,50,18179.42,219
165,Polyline M,217,RT - Residential Local,DN,BC - Bituminous Concrete,FRANCIS ST,Do Nothing,PORTER ST,0,215,19,215,CONWELL ST,70.74,99.9,0,217
166,Polyline M,216,RT - Residential Local,DN,BC - Bituminous Concrete,FRANCESCA AVE,Do Nothing,COLLEGE AVE,0,819,26.5,819,LIBERTY AVE,67.25,88.56,0,216
167,Polyline M,215,RT - Residential Local,DN,BC - Bituminous Concrete,FOUNTAIN AVE,Do Nothing,CROSS ST,0,617,20,617,GLEN ST,70.08,97.76,0,215
168,Polyline M,214,RT - Residential Local,PM,BC - Bituminous Concrete,FOSKET ST,(PM) Pavement Patching,WILLOW AVE,0,711,26,711,LIBERTY AVE,57.97,58.4,38163.32,214
169,Polyline M,213,RT - Residential Local,BR,BC - Bituminous Concrete,FORSTER ST,(BR) Recon/Reclaim Local w/ramps,SYCAMORE ST,0,494,18,494,CENTRAL ST,45.59,18.18,138685.56,213
170,Polyline M,212,RT - Residential Local,SI,BC - Bituminous Concrete,FOREST ST,"(SI) 2"" Mill & Overlay Local w/ramps",CAMBRIDGE TOWNLINE,0,148,26.5,148,BEACON ST,48.75,28.45,33603,212
171,Polyline M,210.1,RT - Residential Local,DN,BC - Bituminous Concrete,FLORENCE ST,Do Nothing,PEARL ST,910,1359,24.5,449,PERKINS ST,70.75,99.95,0,210
172,Polyline M,210,RT - Residential Local,PM,BC - Bituminous Concrete,FLORENCE ST,(PM) Pavement Patching,WASHINGTON ST,0,910,26.5,910,PEARL ST,58.39,59.76,49784,210
173,Polyline M,21,RE - Residential Dead End,DN,BC - Bituminous Concrete,ARLINGTON ST,Do Nothing,LINCOLN ST,0,493,25.5,493,DEAD END,57.69,99.98,0,21
174,Polyline M,209,RE - Residential Dead End,DN,BC - Bituminous Concrete,FLINT ST,Do Nothing,FRANKLIN ST,0,1721,25,1721,DEAD END (E),55.09,91.54,0,209
175,Polyline M,208,RE - Residential Dead End,DN,BC - Bituminous Concrete,FLINT AVE,Do Nothing,FLINT ST,0,218,27,218,DEAD END,57.69,99.98,0,208
176,Polyline M,206,RT - Residential Local,RM,BC - Bituminous Concrete,FISK AVE,(RM) Crack Seal,LOWELL ST,0,521,14.5,521,HINCKLEY ST,63.14,75.2,1519.3,206
177,Polyline M,204,RT - Residential Local,SI,BC - Bituminous Concrete,FENWICK ST,"(SI) 2"" Mill & Overlay Local w/ramps",BROADWAY (W),0,697,26,697,JAQUES ST,52.73,41.38,155265.61,204
178,Polyline M,201,RT - Residential Local,DN,BC - Bituminous Concrete,FARRAGUT AVE,Do Nothing,BROADWAY (E),0,925,26.5,925,HOOKER AVE,70.07,97.72,0,201
179,Polyline M,20,RT - Residential Local,RM,BC - Bituminous Concrete,APPLETON ST,(RM) Crack Seal,WILLOW AVE,0,698,25,698,LIBERTY AVE,64.54,79.75,3509.39,20
180,Polyline M,199,RE - Residential Dead End,SI,BC - Bituminous Concrete,FAIRMOUNT AVE,"(SI) 2"" Mill & Overlay Local w/ramps",CURTIS ST,0,697,26.5,697,DEAD END,38.01,36.04,158251.31,199
181,Polyline M,198,RE - Residential Dead End,DN,BC - Bituminous Concrete,FAIRLEE ST,Do Nothing,CHERRY ST,0,167,19.5,167,DEAD END,56.98,97.68,0,198
182,Polyline M,197,RT - Residential Local,DN,BC - Bituminous Concrete,FAIRFAX ST,Do Nothing,NORTH ST,0,1019,26,1019,ALEWIFE BROOK PKWY,67.82,90.4,0,197
183,Polyline M,195,RT - Residential Local,PM,BC - Bituminous Concrete,EVERGREEN AVE,(PM) Pavement Patching,MARSHALL ST,0,1358,26,1358,SYCAMORE ST,58.19,59.12,72891.38,195
184,Polyline M,193,RT - Residential Local,SI,BC - Bituminous Concrete,EVERETT AVE,"(SI) 2"" Mill & Overlay Local w/ramps",CROSS ST,0,793,26.5,793,McGRATH HWY,52.22,39.7,180047.22,193
185,Polyline M,192,RT - Residential Local,DN,BC - Bituminous Concrete,EUSTIS ST,Do Nothing,CAMBRIDGE TOWNLINE,0,178,20.5,178,BEACON ST,67.24,88.52,0,192
186,Polyline M,191,RT - Residential Local,DN,BC - Bituminous Concrete,ESSEX ST,Do Nothing,RICHDALE ST,0,281,25.5,281,MEDFORD ST,70.74,99.91,0,191
187,Polyline M,190,RT - Residential Local,DN,BC - Bituminous Concrete,ENDICOTT AVE,Do Nothing,BROADWAY (E),0,931,26.5,931,HOOKER AVE,70.74,99.9,0,190
188,Polyline M,19,RT - Residential Local,PM,BC - Bituminous Concrete,AMES ST,(PM) Pavement Patching,ROBINSON ST,0,560,26,560,BARTLETT ST,57.99,58.48,30058.35,19
189,Polyline M,188,RT - Residential Local,RM,BC - Bituminous Concrete,ELSTON ST,(RM) Crack Seal,ELM ST,0,454,26.5,454,SUMMER ST,61.96,71.36,2419.57,188
190,Polyline M,186,RT - Residential Local,PM,BC - Bituminous Concrete,ELMWOOD ST,(PM) Pavement Patching,HOLLAND ST,0,1087,26.5,1087,CAMBRIDGE TOWNLINE,59.28,62.66,59467.33,186
191,Polyline M,185.1,CO - Collector,RM,BC - Bituminous Concrete,ELM ST,(RM) Crack Seal,RUSSELL ST,3788,4779,38,991,DAY ST,74.39,74.28,7573.44,185
192,Polyline M,185,CO - Collector,RM,BC - Bituminous Concrete,ELM ST,(RM) Crack Seal,SOMERVILLE AVE,0,3788,40,3788,RUSSELL ST,76.57,81.36,30472.36,185
193,Polyline M,183,RT - Residential Local,PM,BC - Bituminous Concrete,ELLSWORTH ST,(PM) Pavement Patching,RUSH ST,0,272,26,272,CROSS ST,60.7,67.28,14599.79,183
194,Polyline M,181,RT - Residential Local,DN,BC - Bituminous Concrete,ELLIOT ST,Do Nothing,PROPERZI WY,0,329,26,329,PARK ST,68.91,93.95,0,181
195,Polyline M,180,RT - Residential Local,RM,BC - Bituminous Concrete,ELECTRIC AVE,(RM) Crack Seal,MASON ST,0,1413,26.5,1413,CURTIS ST,62.9,74.44,7530.51,180
196,Polyline M,18,RE - Residential Dead End,RM,BC - Bituminous Concrete,ALSTON ST,(RM) Crack Seal,CROSS ST,0,702,26,702,MCGRATH HWY,53.8,82.35,3670.68,18
197,Polyline M,179,RT - Residential Local,SI,BC - Bituminous Concrete,EDMANDS ST,"(SI) 2"" Mill & Overlay Local w/ramps",BROADWAY (E),0,519,16,519,BONAIR ST (W),52.02,39.05,71147.08,179
198,Polyline M,178,RT - Residential Local,RM,BC - Bituminous Concrete,EDGAR TERR,(RM) Crack Seal,EDGAR AVE,0,163,26,163,ASH AVE,60.33,71.08,852.31,178
199,Polyline M,177,RT - Residential Local,RM,BC - Bituminous Concrete,EDGAR CT,(RM) Crack Seal,EDGAR AVE,0,165,26,165,CENTURY ST,62.54,73.25,862.77,177
200,Polyline M,176,RT - Residential Local,RM,BC - Bituminous Concrete,EDGAR AVE,(RM) Crack Seal,MAIN ST,0,905,33,905,MEACHAM ST,65.48,82.8,6006.18,176
201,Polyline M,175,RE - Residential Dead End,DN,BC - Bituminous Concrete,EASTMAN RD,Do Nothing,HIGHLAND AVE,0,320,26.5,320,DEAD END,57.68,99.95,0,175
202,Polyline M,174.1,RT - Residential Local,SI,BC - Bituminous Concrete,EAST ALBION ST,"(SI) 2"" Mill & Overlay Local w/ramps",MORELAND ST,377,660,22,283,FREMONT ST,48.43,27.4,53343.16,174
203,Polyline M,173,RE - Residential Dead End,RM,BC - Bituminous Concrete,EARLE ST,(RM) Crack Seal,SOUTH ST,0,267,26,299,NORTHERLY,50.53,76.72,1563.44,173
204,Polyline M,172,RE - Residential Dead End,RM,BC - Bituminous Concrete,DURHAM ST,(RM) Crack Seal,HANSON ST,0,476,26.5,476,BEACON ST,52.04,81.63,2536.82,172
205,Polyline M,17,RT - Residential Local,DN,BC - Bituminous Concrete,ALPINE ST,Do Nothing,CEDAR ST,0,1406,23,1406,LOWELL ST,67.48,89.32,0,17
206,Polyline M,166,CO - Collector,SI,BC - Bituminous Concrete,DOVER ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",CAMBRIDGE TOWNLINE,0,1002,26.5,1002,DAVIS SQ,60.62,29.5,269866.69,166
207,Polyline M,165,RE - Residential Dead End,SI,BC - Bituminous Concrete,DOUGLAS AVE,"(SI) 2"" Mill & Overlay Local w/ramps",EDGAR AVE,0,171,19.5,171,DEAD END,34.27,23.87,28569.26,165
208,Polyline M,164,RT - Residential Local,RM,BC - Bituminous Concrete,DIMICK ST,(RM) Crack Seal,CONCORD AVE,0,989,27,989,CALVIN ST,62.73,73.88,5370.27,164
209,Polyline M,163,RT - Residential Local,PM,BC - Bituminous Concrete,DICKSON ST,(PM) Pavement Patching,WESTON AVE,0,329,26.5,329,FAIRMOUNT AVE,57.03,55.36,17998.82,163
210,Polyline M,162,RT - Residential Local,SI,BC - Bituminous Concrete,DICKINSON ST,"(SI) 2"" Mill & Overlay Local w/ramps",SPRINGFIELD ST,0,795,26.5,795,CAMBRIDGE TOWNLINE,54.1,45.82,180501.4,162
211,Polyline M,161,RT - Residential Local,PM,BC - Bituminous Concrete,DERBY ST,(PM) Pavement Patching,WHEATLAND ST,0,1087,26.5,1087,TEMPLE ST,60.81,67.64,59467.33,161
212,Polyline M,160,RT - Residential Local,DN,BC - Bituminous Concrete,DELL ST,Do Nothing,GLEN ST,0,508,26.5,508,TUFTS ST,70.75,99.95,0,160
213,Polyline M,16,RT - Residential Local,DN,BC - Bituminous Concrete,ALLEN ST,Do Nothing,SOMERVILLE AVE,0,667,15,667,CHARLESTOWN ST,67.96,90.88,0,16
214,Polyline M,159,RT - Residential Local,DN,BC - Bituminous Concrete,DELAWARE ST,Do Nothing,PEARL ST,0,402,26,402,McGRATH HWY,70.75,99.95,0,159
215,Polyline M,41.3,AR - Arterial,SI,BC - Bituminous Concrete,BEACON ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",75' N OF MILLER ST,4862,6117,44.5,1255,SOMERVILLE AVE,67.13,33.16,567596.96,41
216,Polyline M,158,RT - Residential Local,SI,BC - Bituminous Concrete,DEARBORN RD,"(SI) 2"" Mill & Overlay Local w/ramps",MEDFORD TOWNLINE,0,547,33.5,547,COLLEGE AVE,47.98,25.92,157000.59,158
217,Polyline M,157,CO - Collector,SI,BC - Bituminous Concrete,DAY ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",CAMBRIDGE TOWNLINE,0,960,26.5,960,ELM ST,62.48,35.56,258555.5,157
218,Polyline M,155,RT - Residential Local,PM,BC - Bituminous Concrete,DARTMOUTH ST,(PM) Pavement Patching,MEDFORD ST,0,1515,26.5,1515,BROADWAY (E),54.7,47.76,82882.22,155
219,Polyline M,153.1,CO - Collector,RM,BC - Bituminous Concrete,DANE ST,(RM) Crack Seal,120' S OF VILLAGE ST,700,1408,27,708,WASHINGTON ST,76,79.5,3844.44,153
220,Polyline M,153,CO - Collector,SI,BC - Bituminous Concrete,DANE ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",SOMERVILLE AVE,0,700,27,700,120' S OF VILLAGE ST,63.3,38.21,192087,153
221,Polyline M,152,RT - Residential Local,SI,BC - Bituminous Concrete,DANE AVE,"(SI) 2"" Mill & Overlay Local w/ramps",DANE ST,0,608,20,608,LELAND ST,50.29,33.44,104184.09,152
222,Polyline M,151,RT - Residential Local,PM,BC - Bituminous Concrete,DANA ST,(PM) Pavement Patching,PEARL ST,0,787,26.5,787,BONAIR ST (W),60.83,67.7,43055.06,151
223,Polyline M,150,RT - Residential Local,DN,BC - Bituminous Concrete,CUTTER ST,Do Nothing,BROADWAY (E),0,775,26,775,WEBSTER ST,70.75,99.95,0,150
224,Polyline M,149,RT - Residential Local,RM,BC - Bituminous Concrete,CUTTER AVE,(RM) Crack Seal,ELM ST,0,659,26,659,HIGHLAND AVE,63.38,76,3445.84,149
225,Polyline M,147,CO - Collector,DN,BC - Bituminous Concrete,CURTIS ST,Do Nothing,BROADWAY (E),0,2364,26.5,2364,MEDFORD TOWNLINE,81.46,97.24,0,147
226,Polyline M,145,RT - Residential Local,PM,BC - Bituminous Concrete,CUMMINGS ST,(PM) Pavement Patching,KENSINGTON AVE,0,618,26,618,MIDDLESEX AVE,57.18,55.84,33171.43,145
227,Polyline M,144,RT - Residential Local,SI,BC - Bituminous Concrete,CROWN ST,"(SI) 2"" Mill & Overlay Local w/ramps",LOWELL ST,0,728,19.5,728,PORTER ST,47.38,23.98,121627.92,144
228,Polyline M,142,RE - Residential Dead End,PM,BC - Bituminous Concrete,CROSS ST EAST,(PM) Pavement Patching,BROADWAY (W),0,703,27,703,DEAD END,41.73,48.12,39185.22,142
