FID,Shape *,ID,Functional,Treatmentb,PavementCl,STREETNAME,PlanActivi,From1,BeginningS,EndingStat,PavementWi,Length,To1,NPR,OCI,ExtendedCo,Route_ID
457,Polyline M,532,RT - Residential Local,DN,BC - Bituminous Concrete,SPENCER AVE,Do Nothing,CEDAR ST,0,774,27,774,HANCOCK ST,70.74,99.9,0,532
458,Polyline M,531.1,RE - Residential Dead End,PM,BC - Bituminous Concrete,SOUTH ST,(PM) Pavement Patching,HARDING ST,601,1160,33.5,559,WINDSOR ST,42.84,51.72,38659.78,531
459,Polyline M,531,RE - Residential Dead End,RM,BC - Bituminous Concrete,SOUTH ST,(RM) Crack Seal,MEDFORD ST,0,601,20,601,HARDING ST,48.15,69,2417.36,531
460,Polyline M,530.2,AR - Arterial,DN,BC - Bituminous Concrete,SOMERVILLE AVE,Do Nothing,PROSPECT ST,1427,8846,49,7419,CAMBRIDGE TOWNLINE,85.25,92.06,0,530
461,Polyline M,530.1,AR - Arterial,SI,BC - Bituminous Concrete,SOMERVILLE AVE,"(SI) 3"" Mill & Overlay Art/Col w/ramps",ROSSMORE ST,600,1427,52,827,PROSPECT ST,70.72,44.84,437063.78,530
462,Polyline M,530,AR - Arterial,PM,BC - Bituminous Concrete,SOMERVILLE AVE,(PM) Pavement Patching,MEDFORD ST,0,600,52,600,ROSSMORE ST,73.48,53.8,64410.73,530
463,Polyline M,53,RE - Residential Dead End,PM,BC - Bituminous Concrete,BENEDICT ST,(PM) Pavement Patching,AUSTIN ST,0,261,26.5,261,DEAD END,42.45,50.46,14278.73,53
464,Polyline M,528,RT - Residential Local,PM,BC - Bituminous Concrete,SMITH AVE,(PM) Pavement Patching,BEACON ST,0,263,15,263,LINE ST,58.54,60.24,8144.17,528
465,Polyline M,526.1,RT - Residential Local,PM,BC - Bituminous Concrete,SKEHAN ST,(PM) Pavement Patching,205' N OF DURHAM ST,583,788,17,205,DURHAM ST,54.97,48.64,7194.55,526
466,Polyline M,525,RT - Residential Local,RM,BC - Bituminous Concrete,SIMPSON AVE,(RM) Crack Seal,HOLLAND ST,0,1091,26.5,1091,BROADWAY (E),66.36,85.68,5814.43,525
467,Polyline M,520,RT - Residential Local,RM,BC - Bituminous Concrete,SEWALL ST,(RM) Crack Seal,GRANT ST,0,669,27,669,TEMPLE ST,62.3,72.48,3632.67,520
468,Polyline M,518,RT - Residential Local,RM,BC - Bituminous Concrete,SEVEN PINES AVE,(RM) Crack Seal,CAMERON AVE,0,217,26.5,217,CAMBRIDGE TOWNLINE,66.26,85.36,1156.48,518
469,Polyline M,516.2,CO - Collector,DN,BC - Bituminous Concrete,SCHOOL ST,Do Nothing,MEDFORD ST,2902,4532,33,1630,BROADWAY (E),80.86,95.28,0,516
470,Polyline M,516.1,CO - Collector,PM,BC - Bituminous Concrete,SCHOOL ST,(PM) Pavement Patching,HIGHLAND AVE,2003,2902,33,899,MEDFORD ST,69.76,59.21,61245.81,516
471,Polyline M,516,CO - Collector,PM,BC - Bituminous Concrete,SCHOOL ST,(PM) Pavement Patching,SOMERVILLE AVE,0,2003,26.5,2003,HIGHLAND AVE,70.06,60.19,109579.64,516
472,Polyline M,514,RT - Residential Local,SI,BC - Bituminous Concrete,SARTWELL AVE,"(SI) 2"" Mill & Overlay Local w/ramps",CEDAR ST,0,466,24,466,CHERRY ST,53.3,43.24,95822.28,514
473,Polyline M,513,RT - Residential Local,PM,BC - Bituminous Concrete,SARGENT AVE,(PM) Pavement Patching,BROADWAY (E),0,1127,26.5,1127,WALNUT ST,55.19,49.36,61655.69,513
474,Polyline M,511,RT - Residential Local,DN,BC - Bituminous Concrete,SANBORN AVE,Do Nothing,WARREN AVE,0,318,26,318,WALNUT ST,70.75,99.95,0,511
475,Polyline M,510,RT - Residential Local,RM,BC - Bituminous Concrete,SACRAMENTO ST,(RM) Crack Seal,CAMBRIDGE TOWNLINE,0,375,20,375,DEAD END,64.72,80.35,1508.33,510
476,Polyline M,509,RT - Residential Local,RM,BC - Bituminous Concrete,RUSSELL ST,(RM) Crack Seal,ELM ST,0,777,26.5,777,CAMBRIDGE TOWNLINE,65.09,81.55,4140.97,509
477,Polyline M,508,RE - Residential Dead End,PM,BC - Bituminous Concrete,RUSSELL RD,(PM) Pavement Patching,BROADWAY (E),0,560,26.5,560,HAMILTON RD,45.83,61.44,30636.38,508
478,Polyline M,506,RT - Residential Local,DN,BC - Bituminous Concrete,ROSSMORE ST,Do Nothing,SOMERVILLE AVE,0,610,27,610,WASHINGTON ST,68.94,94.07,0,506
479,Polyline M,505,RT - Residential Local,SI,BC - Bituminous Concrete,ROSELAND ST,"(SI) 2"" Mill & Overlay Local w/ramps",CAMBRIDGE TOWNLINE,0,159,24.5,159,BEACON ST,48.67,28.18,33375.52,505
480,Polyline M,504,RT - Residential Local,DN,BC - Bituminous Concrete,ROSE ST,Do Nothing,WASHINGTON ST,0,501,26,501,LEWIS ST,69.14,94.7,0,504
481,Polyline M,503,RT - Residential Local,PM,BC - Bituminous Concrete,ROGERS AVE,(PM) Pavement Patching,MORRISON AVE,0,1728,30,1728,BOSTON AVE (S),57.85,58,107020.8,503
482,Polyline M,502,RT - Residential Local,SI,BC - Bituminous Concrete,ROBINSON ST,"(SI) 2"" Mill & Overlay Local w/ramps",CENTRAL ST,0,688,26,688,BARTLETT ST,50.39,33.76,153260.75,502
483,Polyline M,50,RT - Residential Local,RM,BC - Bituminous Concrete,BELMONT ST,(RM) Crack Seal,SOMERVILLE AVE,0,2294,25,2294,HIGHLAND AVE,62.41,72.83,11533.72,50
484,Polyline M,5,RT - Residential Local,RM,BC - Bituminous Concrete,ADAMS ST,(RM) Crack Seal,MEDFORD AT,0,980,26,980,BROADWAY (E),62.45,72.97,5124.31,5
485,Polyline M,499,RT - Residential Local,RM,BC - Bituminous Concrete,RICHDALE AVE,(RM) Crack Seal,SCHOOL ST,0,921,26.5,921,SYCAMORE ST,64.49,79.6,4908.41,499
486,Polyline M,497,RT - Residential Local,RM,BC - Bituminous Concrete,RICHARDSON ST,(RM) Crack Seal,LOWELL ST,0,502,23,502,HINCKLEY ST,64.92,81,2322.03,497
487,Polyline M,496,RT - Residential Local,PM,BC - Bituminous Concrete,RHODE ISLAND AVE,(PM) Pavement Patching,PENNSYLVANIA AVE,0,308,25,308,CONNECTICUT AVE,57.58,57.12,15896.3,496
488,Polyline M,492,RT - Residential Local,SI,BC - Bituminous Concrete,RAYMOND AVE,"(SI) 2"" Mill & Overlay Local w/ramps",CURTIS ST,0,1386,26.5,1386,NORTH ST,53.23,43,314685.91,492
489,Polyline M,490,RT - Residential Local,PM,BC - Bituminous Concrete,RADCLIFFE RD,(PM) Pavement Patching,WALNUT ST,0,735,24,735,MARSHALL ST,60.79,67.58,36416.8,490
490,Polyline M,49,RE - Residential Dead End,DN,BC - Bituminous Concrete,BELMONT PL,Do Nothing,BELMONT ST,0,180,14.5,180,DEAD END,56.95,97.58,0,49
491,Polyline M,489,RT - Residential Local,PM,BC - Bituminous Concrete,QUINCY ST,(PM) Pavement Patching,SOMERVILLE AVE,0,841,26.5,841,SUMMER ST,57.23,56,46009.28,489
492,Polyline M,488,RT - Residential Local,SI,BC - Bituminous Concrete,PUTNAM ST,"(SI) 2"" Mill & Overlay Local w/ramps",SUMMER ST,0,1322,32.5,1322,HIGHLAND AVE,53.4,43.54,368114.66,488
493,Polyline M,487,RT - Residential Local,DN,BC - Bituminous Concrete,PUTNAM RD,Do Nothing,TEN HILLS RD,0,1208,26.5,1208,SHORE DR,70.38,98.72,0,487
494,Polyline M,486,RT - Residential Local,DN,BC - Bituminous Concrete,PURITAN RD,Do Nothing,TEN HILLS RD,0,1387,26.5,1387,SHORE DR,69.86,97.04,0,486
495,Polyline M,485.1,AR - Arterial,DN,BC - Bituminous Concrete,PROSPECT ST,Do Nothing,WEBSTER AVE,1060,2088,33.5,1028,CAMBRIDGE TOWNLINE,85.01,96.29,0,485
496,Polyline M,485,AR - Arterial,RM,BC - Bituminous Concrete,PROSPECT ST,(RM) Crack Seal,WASHINGTON ST,0,1060,36,1060,WEBSTER AVE,82.98,89.69,7674.4,485
497,Polyline M,483,RT - Residential Local,RM,BC - Bituminous Concrete,PROSPECT HILL PKWY,(RM) Crack Seal,COLUMBUS AVE,0,556,26,556,MUNROE ST,61.78,70.8,2907.26,483
498,Polyline M,482,RT - Residential Local,RM,BC - Bituminous Concrete,PROSPECT HILL AVE,(RM) Crack Seal,MEDFORD ST,0,645,26.5,645,MUNROE ST,61.48,69.82,3437.5,482
499,Polyline M,481,RT - Residential Local,RM,BC - Bituminous Concrete,PROFESSORS ROW,(RM) Crack Seal,COLLEGE AVE,0,2050,28,2050,CURTIS ST,62.58,73.39,11543.78,481
500,Polyline M,478,RT - Residential Local,DN,BC - Bituminous Concrete,PRINCETON ST,Do Nothing,ALPINE ST,0,676,26.5,676,LOWELL ST,67.62,89.76,0,478
501,Polyline M,477,RT - Residential Local,DN,BC - Bituminous Concrete,PRICHARD AVE,Do Nothing,MORRISON AVE,0,1210,26.5,1210,BOSTON AVE (S),69.45,95.72,0,477
502,Polyline M,476,RT - Residential Local,PM,BC - Bituminous Concrete,PRESTON RD,(PM) Pavement Patching,SCHOOL ST,0,845,26,845,SUMMER ST,60.52,66.68,45355.82,476
503,Polyline M,475,RT - Residential Local,PM,BC - Bituminous Concrete,PRESCOTT ST,(PM) Pavement Patching,SUMMER ST,0,1163,33,1163,HIGHLAND AVE,59.72,64.1,79231.25,475
504,Polyline M,472,RT - Residential Local,PM,BC - Bituminous Concrete,POWDERHOUSE TER,(PM) Pavement Patching,KIDDER AVE,0,625,26.5,625,LIBERTY AVE,56.52,53.68,34192.4,472
505,Polyline M,471.1,RT - Residential Local,BR,BC - Bituminous Concrete,PORTER ST,(BR) Recon/Reclaim Local w/ramps,SUMMER ST,1265,2109,26,844,HIGHLAND AVE,44.77,15.49,342252.94,471
506,Polyline M,471,RT - Residential Local,PM,BC - Bituminous Concrete,PORTER ST,(PM) Pavement Patching,ELM ST,0,1265,30,1265,SUMMER ST,57.33,56.32,78345.73,471
507,Polyline M,47,RT - Residential Local,DN,BC - Bituminous Concrete,BELKNAP ST,Do Nothing,BROADWAY (E),0,503,26.5,503,HAMILTON RD,68.81,93.62,0,47
508,Polyline M,469,RT - Residential Local,SI,BC - Bituminous Concrete,POPLAR ST,"(SI) 2"" Mill & Overlay Local w/ramps",JOY ST,0,591,42.5,591,McGRATH HWY,52.47,40.54,215200.9,469
509,Polyline M,468,RT - Residential Local,PM,BC - Bituminous Concrete,PLEASANT AVE,(PM) Pavement Patching,WALNUT ST,0,586,25.5,586,VINAL AVE,55.36,49.92,30848.93,468
510,Polyline M,465,RT - Residential Local,PM,BC - Bituminous Concrete,PINCKNEY ST,(PM) Pavement Patching,WASHINGTON ST,0,1240,26,1240,PERKINS ST,58.26,59.36,66557.65,465
511,Polyline M,461,RT - Residential Local,SI,BC - Bituminous Concrete,PERRY ST,"(SI) 2"" Mill & Overlay Local w/ramps",WASHINGTON ST,0,725,27,725,WYATT ST,52.46,40.48,167714.25,461
512,Polyline M,460,CO - Collector,RM,BC - Bituminous Concrete,PERKINS ST,(RM) Crack Seal,BOSTON TOWNLINE,0,1348,25,1348,DEAD END,74.37,79.2,6777.44,460
513,Polyline M,46,RT - Residential Local,RM,BC - Bituminous Concrete,BEECH ST,(RM) Crack Seal,ATHERTON ST,0,380,26.5,380,SOMERVILLE AVE,62.32,72.55,2025.19,46
514,Polyline M,458,RT - Residential Local,PM,BC - Bituminous Concrete,PENNSYLVANIA AVE,(PM) Pavement Patching,BROADWAY (W),0,1511,26.5,1511,DEAD END,55.66,50.88,82663.53,458
515,Polyline M,457,RT - Residential Local,PM,BC - Bituminous Concrete,PEMBROKE ST,(PM) Pavement Patching,SYCAMORE ST,0,470,26,470,CENTRAL ST,54.57,47.36,25227.55,457
516,Polyline M,455.1,RT - Residential Local,RM,BC - Bituminous Concrete,PEARSON RD,(RM) Crack Seal,WARNER ST,646,1763,26.5,1117,DEARBORN RD,61.35,69.4,5952.98,455
517,Polyline M,455,RT - Residential Local,RM,BC - Bituminous Concrete,PEARSON RD,(RM) Crack Seal,BROADWAY (E),0,646,26.5,646,WARNER ST,64.65,80.1,3442.82,455
518,Polyline M,454,RT - Residential Local,DN,BC - Bituminous Concrete,PEARSON AVE,Do Nothing,MORRISON AVE,0,1376,30,1376,BOSTON AVE (S),69.4,95.56,0,454
519,Polyline M,452,RE - Residential Dead End,DN,BC - Bituminous Concrete,PEARL ST PL,Do Nothing,PEARL ST,0,191,14.5,191,DEAD END,57.69,99.98,0,452
520,Polyline M,451.4,CO - Collector,DN,BC - Bituminous Concrete,PEARL ST,Do Nothing,SKILTON AV,4401,4932,34,531,MEDFORD ST,81.32,96.78,0,451
521,Polyline M,451.3,CO - Collector,RM,BC - Bituminous Concrete,PEARL ST,(RM) Crack Seal,100' E OF WALNUT ST,3890,4401,33.5,511,SKILTON AV,73.09,70.05,3442.73,451
522,Polyline M,451.2,CO - Collector,SI,BC - Bituminous Concrete,PEARL ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",CROSS ST,2445,3890,33.5,1445,100' E OF WALNUT ST,66.05,47.17,491981.46,451
523,Polyline M,451.1,CO - Collector,PM,BC - Bituminous Concrete,PEARL ST,(PM) Pavement Patching,FRANKLIN ST,1401,2445,26,1044,CROSS ST,67.17,50.81,56037.28,451
524,Polyline M,451,CO - Collector,SI,BC - Bituminous Concrete,PEARL ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",CRESCENT ST,0,1401,32,1401,FRANKLIN ST,65.45,45.21,455642.26,451
525,Polyline M,450,RT - Residential Local,SI,BC - Bituminous Concrete,PAULINA ST,"(SI) 2"" Mill & Overlay Local w/ramps",HOLLAND ST,0,835,26.5,835,BROADWAY (E),53.27,43.12,189583.42,450
526,Polyline M,45,RT - Residential Local,PM,BC - Bituminous Concrete,BEDFORD ST,(PM) Pavement Patching,CAMBRIDGE TOWNLINE,0,174,20,174,SOUTH ST,57.3,56.24,7184.33,45
527,Polyline M,449,RT - Residential Local,RM,BC - Bituminous Concrete,PARTRIDGE AVE,(RM) Crack Seal,VERNON ST,0,1572,24.5,1572,BROADWAY (E),61.89,71.15,7745.59,449
528,Polyline M,448,RT - Residential Local,RM,BC - Bituminous Concrete,PARKER ST,(RM) Crack Seal,WASHINGTON ST,0,249,23,249,FREMONT AVE,64.06,78.2,1151.76,448
529,Polyline M,446,RT - Residential Local,PM,BC - Bituminous Concrete,PARKDALE ST,(PM) Pavement Patching,WASHINGTON ST,0,551,26.5,551,LEWIS ST,60.33,66.08,30144.01,446
530,Polyline M,445,CO - Collector,RM,BC - Bituminous Concrete,PARK ST,(RM) Crack Seal,SOMERVILLE AVE,0,1332,33,1332,CAMBRIDGE TOWNLINE,76.15,79.98,8840.04,445
531,Polyline M,443,CO - Collector,PM,BC - Bituminous Concrete,PARK AVE,(PM) Pavement Patching,COLLEGE AVE,0,516,26.5,516,WALLACE ST,71.03,63.34,28229.15,443
532,Polyline M,441,RT - Residential Local,SI,BC - Bituminous Concrete,PACKARD AVE,"(SI) 2"" Mill & Overlay Local w/ramps",BROADWAY (E),0,1956,40.5,1956,MEDFORD TOWNLINE,50.47,34.04,678722.22,441
533,Polyline M,440,RT - Residential Local,PM,BC - Bituminous Concrete,OSSIPEE RD,(PM) Pavement Patching,MASON ST,0,1417,26,1417,CURTIS ST,55.26,49.6,76058.34,440
534,Polyline M,438,RT - Residential Local,DN,BC - Bituminous Concrete,ORCHARD ST,Do Nothing,CAMBRIDGE TOWNLINE,0,1585,26.5,1585,MEACHAM RD,70.75,99.94,0,438
535,Polyline M,437,RT - Residential Local,PM,BC - Bituminous Concrete,OLIVER ST,(PM) Pavement Patching,FRANKLIN ST,0,1128,26.5,1128,CROSS ST,60.57,66.86,61710.31,437
536,Polyline M,435,RT - Residential Local,RM,BC - Bituminous Concrete,OAKLAND AVE,(RM) Crack Seal,MARSHALL ST,0,475,25.5,475,SCHOOL ST,64.75,80.45,2435.95,435
537,Polyline M,433.1,RT - Residential Local,SI,BC - Bituminous Concrete,OAK ST,"(SI) 2"" Mill & Overlay Local w/ramps",550' N OF CAMBRIDGE TOWNLINE,687,1254,20,567,CAMBRIDGE TOWNLINE,52.26,39.85,97158.6,433
538,Polyline M,433,RT - Residential Local,SI,BC - Bituminous Concrete,OAK ST,"(SI) 2"" Mill & Overlay Local w/ramps",PROSPECT ST,0,687,26.5,687,550' N OF CAMBRIDGE TOWNLINE,47.96,25.88,155980.42,433
539,Polyline M,432,RT - Residential Local,RM,BC - Bituminous Concrete,NORWOOD AVE,(RM) Crack Seal,MEDFORD ST,0,429,26.5,429,BROADWAY (E),65.68,83.45,2286.34,432
540,Polyline M,430,CO - Collector,SI,BC - Bituminous Concrete,NORTH ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",BROADWAY (E),0,2642,26.5,2642,MEDFORD TOWNLINE,61.5,32.38,711565.25,430
541,Polyline M,427.1,CO - Collector,RM,BC - Bituminous Concrete,NEWTON ST,(RM) Crack Seal,WEBSTER AVE,548,1757,28,1209,MARION ST,78.37,87.19,6808.01,427
542,Polyline M,427,CO - Collector,RM,BC - Bituminous Concrete,NEWTON ST,(RM) Crack Seal,PROSPECT ST,0,548,19.5,548,WEBSTER AVE,78.5,87.61,2149.07,427
543,Polyline M,425,RT - Residential Local,PM,BC - Bituminous Concrete,NEWBURY ST,(PM) Pavement Patching,HOLLAND ST,0,1293,26.5,1293,CAMBRIDGE TOWNLINE,59.91,64.7,70737.22,425
544,Polyline M,424,RE - Residential Dead End,RM,BC - Bituminous Concrete,NEWBERNE ST,(RM) Crack Seal,APPLETON ST,0,215,26,215,MORRISON AVE,52.42,82.86,1124.21,424
545,Polyline M,423,RT - Residential Local,SI,BC - Bituminous Concrete,NEW WASHINGTON ST,"(SI) 2"" Mill & Overlay Local w/ramps",INNER BELT RD,0,1744,45,1744,WASHINGTON ST,52.34,40.12,672399.2,423
546,Polyline M,422,RT - Residential Local,RM,BC - Bituminous Concrete,NEW HAMPSHIRE AVE,(RM) Crack Seal,PENNSYLVANIA AVE,0,292,25,292,VERMONT AVE,64.04,78.12,1468.11,422
547,Polyline M,998,RT - Residential Local,BR,BC - Bituminous Concrete,CONWELL AVE,(BR) Recon/Reclaim Local w/ramps,CURTIS ST,0,1386,27,1386,NORTH ST,46.76,21.98,583658.46,998
548,Polyline M,997,RT - Residential Local,PM,BC - Bituminous Concrete,CURTIS AVE,(PM) Pavement Patching,CURTIS ST,0,693,26.5,693,HILLSDALE RD,60.41,66.32,37912.49,997
549,Polyline M,996,RT - Residential Local,PM,BC - Bituminous Concrete,COLLEGE HILL RD,(PM) Pavement Patching,NORTH ST,0,273,26.5,273,CONWELL AVE,55.06,48.96,14935.16,996
550,Polyline M,995,RT - Residential Local,PM,BC - Bituminous Concrete,CHETWYND RD,(PM) Pavement Patching,CURTIS ST,0,933,26.5,933,WEST ADAMS ST,58.98,61.68,51042.42,995
551,Polyline M,994,RT - Residential Local,PM,BC - Bituminous Concrete,BAILEY ST,(PM) Pavement Patching,WEST ADAMS ST,0,466,26.5,466,NORTH ST,58.66,60.64,25493.8,994
552,Polyline M,993,RT - Residential Local,PM,BC - Bituminous Concrete,BURNHAM ST,(PM) Pavement Patching,BROADWAY,0,625,26,625,POWDER HOUSE BLVD,58.02,58.56,33547.3,993
553,Polyline M,992,RT - Residential Local,RM,BC - Bituminous Concrete,DOW ST,(RM) Crack Seal,POWDER HOUSE BLVD,0,324,26.5,324,WARE ST,63.93,77.76,1726.74,992
554,Polyline M,991,RT - Residential Local,RM,BC - Bituminous Concrete,JAY ST,(RM) Crack Seal,HOLLAND ST,0,579,26.5,579,HOWARD ST,64.63,80.05,3085.74,991
555,Polyline M,990,RT - Residential Local,PM,BC - Bituminous Concrete,CORINTHIAN RD,(PM) Pavement Patching,BROADWAY,0,609,26.5,609,CADY AVE,60.79,67.58,33317.1,990
556,Polyline M,989,RT - Residential Local,PM,BC - Bituminous Concrete,MALVERN AVE,(PM) Pavement Patching,CAMERON AVE,0,462,26.5,462,YORKTOWN ST,60.41,66.32,25274.93,989
557,Polyline M,988,RT - Residential Local,SI,BC - Bituminous Concrete,BROMFIELD RD,"(SI) 2"" Mill & Overlay Local w/ramps",WARNER ST,0,1316,26.5,1316,DEARBORN RD,51.45,37.2,298792.77,988
558,Polyline M,987,RT - Residential Local,PM,BC - Bituminous Concrete,HENRY AVE,(PM) Pavement Patching,HIGHLAND AVE,0,347,26.5,347,LEXINGTON AVE,60.83,67.7,18983.56,987
559,Polyline M,986,RT - Residential Local,RM,BC - Bituminous Concrete,NORFOLK ST,(RM) Crack Seal,CAMBRIDGE TOWNLINE,0,324,27,324,WEBSTER AV,62.54,73.25,1759.32,986
560,Polyline M,985,RT - Residential Local,DN,BC - Bituminous Concrete,NEW RD,Do Nothing,MIDDLESEX AVE,0,680,48,680,ASSEMBLY SQUARE DR,65.54,97.99,0,985
561,Polyline M,984,RT - Residential Local,DN,BC - Bituminous Concrete,MURDOCK ST,Do Nothing,CEDAR ST,0,889,24,885,CLYDE ST,62.76,88.96,0,984
562,Polyline M,983,RT - Residential Local,DN,BC - Bituminous Concrete,FELLSWAY WEST,Do Nothing,BROADWAY,0,1447,34,1447,MYSTIC AVE,66.15,100,0,983
563,Polyline M,982.1,RT - Residential Local,RM,BC - Bituminous Concrete,SHORE DR,(RM) Crack Seal,CREST HILL RD,1164,2698,26,1535,FELLSWAY WEST,57.41,71.57,8026.34,982
564,Polyline M,982,RT - Residential Local,SI,BC - Bituminous Concrete,SHORE DR,"(SI) 2"" Mill & Overlay Local w/ramps",MYSTIC AVE,0,1164,26,1164,CREST HILL RD,46.94,37.55,259295.48,982
565,Polyline M,98.1,CO - Collector,RM,BC - Bituminous Concrete,CENTRAL ST,(RM) Crack Seal,SUMMER ST,1080,4882,26.5,3802,BROADWAY (E),78.78,88.52,20262.55,98
566,Polyline M,98,CO - Collector,DN,BC - Bituminous Concrete,CENTRAL ST,Do Nothing,SOMERVILLE AVE,0,1080,21.5,1080,SUMMER ST,81.18,96.34,0,98
567,Polyline M,96.2,CO - Collector,RM,BC - Bituminous Concrete,CEDAR ST,(RM) Crack Seal,MURDOCK ST,3564,4337,26.5,773,BROADWAY (E),78.18,81.6,4119.67,96
568,Polyline M,96.1,CO - Collector,SI,BC - Bituminous Concrete,CEDAR ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",HIGHLAND AVE,1751,3564,26.5,1813,MURDOCK ST,64.49,37.08,488292.47,96
569,Polyline M,96,CO - Collector,PM,BC - Bituminous Concrete,CEDAR ST,(PM) Pavement Patching,ELM ST,0,1751,26.5,1751,HIGHLAND AVE,70.61,56.97,95793.28,96
570,Polyline M,95,RT - Residential Local,PM,BC - Bituminous Concrete,CEDAR AVE,(PM) Pavement Patching,CEDAR ST,0,330,14.5,330,LINDEN AVE,54.52,47.2,9878.43,95
571,Polyline M,93,RE - Residential Dead End,DN,BC - Bituminous Concrete,CARTER TERR,Do Nothing,SUMMER ST,0,189,26.5,189,DEAD END,57.68,99.97,0,93
572,Polyline M,92,RT - Residential Local,DN,BC - Bituminous Concrete,CARLTON ST,Do Nothing,SOMERVILLE AVE,0,348,26.5,348,LAKE ST,67.66,89.88,0,92
